SOV_A3,LABEL_X,LABEL_Y,gni_pc_m_2017
TZA,34.959183,-6.051866,2766.104582
COD,23.458829,-1.858167,1150.091235
SOM,45.19238,3.568925,
KEN,37.907632,0.549043,4889.646866
SDN,29.260657,16.330746,6625.388306
TCD,18.645041,15.142959,
ZAF,23.665734,-29.708776,17108.55099
LSO,28.246639,-29.480158,3654.441042
ZWE,29.925444,-18.91164,2382.677166
BWA,24.179216,-22.102634,15920.49437
NAM,17.108166,-20.575298,11919.69435
SEN,-14.778586,15.138125,3998.774954
MLI,-2.038455,18.692713,2866.079092
MRT,-9.740299,19.587062,7123.953373
BEN,2.352018,10.324775,3456.885978
NER,9.504356,17.446195,1753.340223
NGA,7.50322,9.439799,5532.693198
CMR,12.473488,4.585041,4327.011694
TGO,1.058113,8.80722,2025.300724
GHA,-1.036941,7.717639,5524.079913
CIV,-5.568618,7.49139,6025.691733
GIN,-10.016402,10.618516,
GNB,-14.52413,12.163712,
LBR,-9.460379,6.447177,1577.451081
SLE,-11.763677,8.617449,1789.713603
BFA,-1.36388,12.673048,2368.661697
CAF,20.906897,6.989681,
COG,15.9005,0.142331,4610.421147
GAB,11.835939,-0.437739,18083.48674
GNQ,8.9902,2.333,
ZMB,26.395298,-14.660804,3633.767066
MWI,33.608082,-13.386737,1624.607031
MOZ,37.83789,-13.94323,1418.032094
SWZ,31.467264,-26.533676,9081.961302
AGO,17.984249,-12.182762,7874.582331
BDI,29.917086,-3.332836,824.0077948
MDG,46.704241,-18.628288,1744.625337
GMB,-14.998318,13.641721,2250.517275
TUN,9.007881,33.687263,16200.43104
DZA,2.808241,27.397406,18955.50127
ERI,38.285566,15.787401,
MAR,-7.187296,31.650723,12287.84817
EGY,29.445837,26.186173,16864.72845
LBY,18.011015,26.638944,33759.76541
ETH,39.0886,8.032795,2404.374334
DJI,42.498825,11.976343,6056.643279
UGA,32.948555,1.972589,2501.580137
RWA,30.103894,-1.897196,2436.000497
