SOV_A3,LABEL_X,LABEL_Y,gni_pc_m_2022
TZA,34.959183,-6.051866,2970.337277
COD,23.458829,-1.858167,1245.928128
SOM,45.19238,3.568925,1563.454431
KEN,37.907632,0.549043,5653.521006
SDN,29.260657,16.330746,5282.106061
TCD,18.645041,15.142959,1783.317579
ZAF,23.665734,-29.708776,16095.30677
LSO,28.246639,-29.480158,3304.367697
ZWE,29.925444,-18.91164,2433.257978
BWA,24.179216,-22.102634,16036.5159
NAM,17.108166,-20.575298,10672.50566
SEN,-14.778586,15.138125,4711.642134
MLI,-2.038455,18.692713,2741.074418
MRT,-9.740299,19.587062,7726.989095
BEN,2.352018,10.324775,4205.30987
NER,9.504356,17.446195,1662.527106
NGA,7.50322,9.439799,5385.706047
CMR,12.473488,4.585041,4318.020666
TGO,1.058113,8.80722,2679.451158
GHA,-1.036941,7.717639,5969.912165
CIV,-5.568618,7.49139,6664.736678
GIN,-10.016402,10.618516,3104.255804
GNB,-14.52413,12.163712,2282.042082
LBR,-9.460379,6.447177,1499.483837
SLE,-11.763677,8.617449,1898.409207
BFA,-1.36388,12.673048,2624.118024
CAF,20.906897,6.989681,
COG,15.9005,0.142331,3722.266332
GAB,11.835939,-0.437739,14958.16542
GNQ,8.9902,2.333,
ZMB,26.395298,-14.660804,3800.49076
MWI,33.608082,-13.386737,1687.144463
MOZ,37.83789,-13.94323,1384.984659
SWZ,31.467264,-26.533676,9847.944426
AGO,17.984249,-12.182762,5973.845631
BDI,29.917086,-3.332836,789.4561469
MDG,46.704241,-18.628288,1702.256419
GMB,-14.998318,13.641721,2390.054779
TUN,9.007881,33.687263,15528.15685
DZA,2.808241,27.397406,17858.79078
ERI,38.285566,15.787401,
MAR,-7.187296,31.650723,12875.95846
EGY,29.445837,26.186173,20789.67605
LBY,18.011015,26.638944,27248.02915
ETH,39.0886,8.032795,2969.746197
DJI,42.498825,11.976343,7480.589233
UGA,32.948555,1.972589,2597.473697
RWA,30.103894,-1.897196,3000.009352
